epoch,train_total_loss,train_full_loss,train_component_loss,train_crop_loss,train_distillation_loss,train_distance_loss,distillation_schedule,teacher_valid_fraction,teacher_foreground_valid_fraction,zoom_samples,component_loss_terms,val_precision,val_recall,val_iou,val_dice,val_fp_per_image,val_component_recall_iou10,epoch_minutes
1,3.564855156256975,2.1266550534196687,0.639153984764225,2.237246223550887,0.0,0.09509808248913854,0.0,0.0,0.0,4674,9754,0.5172671595008832,0.12928147596392553,0.11536291141386057,0.2068616595250129,2824.373150105708,0.41608137563574715,6.255132971800049
2,2.428544779609611,1.4225693946767337,0.4955727624385271,1.5163780037221197,0.0,0.08173491477243114,0.0,0.0,0.0,4674,9754,0.6511123863537874,0.3044632123128909,0.2617593950909607,0.41491174325211244,3819.0755813953488,0.5681763138774522,6.229884508766312
3,2.3467282013215005,1.387888535097006,0.4547998655494933,1.462879465772659,0.0,0.07892451625250062,0.0,0.0,0.0,4674,9754,0.3181869454865561,0.42396903367182465,0.22214968656860606,0.3635392440222756,21267.229915433403,0.5076289658512957,6.113040856866671
4,2.276588687885965,1.358758163586696,0.4354012938741906,1.4002597622220188,0.0,0.06847107010698009,0.0,0.0,0.0,4674,9754,0.5349868548552054,0.3758069792456684,0.28327446094476383,0.44148694541339717,7646.818710359408,0.5393557762170017,6.3815226063336015
5,2.30681677459325,1.382954603904526,0.42829771049438425,1.363868155840019,0.1388962067495485,0.06325510522901474,0.2,0.8872972827732698,0.3959234165577951,4674,9754,0.34315665070000617,0.43339886139711575,0.23688462296740212,0.3830343082430659,19420.078752642705,0.5950593364010657,6.252887432966963
6,2.316187596859297,1.3769872405997248,0.42603071474598436,1.351238861283115,0.12641392585234906,0.058413131459790615,0.4,0.884740930001838,0.40964794593808773,4674,9754,0.46723540059326163,0.3648637496958464,0.2576656891465676,0.4097522757759505,9739.219873150105,0.5965124727536933,6.11304710591697
7,2.326491901648502,1.385722096321545,0.4222193311386937,1.3113341217520005,0.12332179586047781,0.055446733409038516,0.6,0.8853801991546665,0.41879634653257114,4674,9754,0.606787590223997,0.47991089465754705,0.3660666060933154,0.5359425440318677,7280.227801268499,0.6667473964640349,6.075324109649713
8,2.327899993999817,1.3830744652661997,0.4108041744300797,1.2940559845342055,0.1154943104366652,0.05279824881105942,0.8,0.8796496516963968,0.43311511779387435,4674,9754,0.5111077181283212,0.5353287207880202,0.3540392176912517,0.5229379076551678,11987.127378435518,0.6735286994429645,6.063025878766591
9,2.335751336638061,1.3762016740932421,0.4078873125764775,1.2858626837520513,0.11267466389954628,0.05050250601284122,1.0,0.8920299287843382,0.4499617237898334,4674,9754,0.40770386497248656,0.5174355156596674,0.29538880719987587,0.4560620032504233,17597.223044397462,0.636231533058852,6.008647807800056
10,2.313101113300022,1.3676130094861876,0.40013602888947414,1.2734541205601013,0.10869302677734845,0.04871992802785596,1.0,0.8893744025623287,0.45533595560334045,4674,9754,0.3967111599079285,0.6549594886738367,0.3281337641414115,0.49412758413462615,23316.27378435518,0.6912085250666021,6.042314158117127
