precision,recall,iou,dice,pixel_f1,accuracy,specificity,fp_per_image,component_precision_iou10,component_recall_iou10,component_f1_iou10,component_precision_iou50,component_recall_iou50,component_f1_iou50,mean_best_component_iou,false_positive_components_per_image_iou10,images,gt_components,pred_components,true_positive_pixels,false_positive_pixels,false_negative_pixels,true_negative_pixels,group_type,split,inference_time_ms_per_image,throughput_images_per_second,peak_inference_memory_mb
0.6783942291940883,0.631419381387714,0.48595526111316106,0.6540644578345132,0.6540644578345132,0.9590198834737141,0.9804336904166031,7522.638541666666,0.3671988388969521,0.711506913522381,0.48440366972477067,0.23850991775520078,0.46215139442231074,0.31463901076984446,0.4145832257236519,2.725,1920,4267,8268,30467003,14443466,17784609,723736922,overall,overall,3.7570801738183945,266.16413643994196,409.287109375
0.761907787513382,0.6221573177352457,0.5208861531160155,0.684977178664972,0.684977178664972,0.9116391932600636,0.9644986773211617,12296.074576271187,0.3413059984813971,0.7320846905537459,0.4655618850336613,0.22095671981776766,0.4739413680781759,0.3013982392542724,0.42828492238837546,2.940677966101695,590,1228,2634,23215376,7254684,14098942,197094998,size,large,,,
0.7002429202027836,0.6730076213870537,0.5224815669159826,0.6863551957142552,0.6863551957142552,0.9284526494197074,0.9620772269320784,13726.349710982659,0.5630810092961488,0.8313725490196079,0.6714172604908948,0.42762284196547146,0.6313725490196078,0.5098970704671417,0.5193666437367488,0.9508670520231214,346,510,753,11094569,4749317,5390488,120487226,dataset,GC10-DET,,,
0.5610970783578237,0.663731389580689,0.43689941108725117,0.6081141208856989,0.6081141208856989,0.976356949344758,0.9852428844687552,5877.4562211981565,0.4144951140065147,0.7398255813953488,0.5313152400835074,0.28311617806731815,0.5053294573643411,0.3629088378566458,0.4426178563249048,2.4850230414746544,868,2064,3684,6521968,5101632,3304248,340604952,size,medium,,,
0.6579147034181201,0.6139493977591031,0.4653862893386208,0.6351721627594396,0.6351721627594396,0.9596032634760133,0.9806045032221369,7489.3570759137765,0.37160894045384746,0.7023540793292486,0.4860522204864986,0.22811806858897798,0.43115124153498874,0.29837089935282307,0.3998027604131811,3.451733833177132,1067,3101,5861,15368948,7991144,9663975,404019133,dataset,Severstal,,,
0.25903744272330853,0.6567126700375672,0.22814477266786484,0.3715274904802506,0.3715274904802506,0.9869550221100514,0.9889054631707463,4517.640692640693,0.3128205128205128,0.6256410256410256,0.41709401709401706,0.17794871794871794,0.3558974358974359,0.23726495726495725,0.3379789579644053,2.9004329004329006,462,975,1950,729659,2087150,381419,186036972,size,small,,,
0.670834396529727,0.7086834622554548,0.5258320010359879,0.6892397074893776,0.6892397074893776,0.9864222573334316,0.9924513689480927,3026.2264150943397,0.47966101694915253,0.8871473354231975,0.6226622662266226,0.3847457627118644,0.7115987460815048,0.49944994499449946,0.5744268231217488,0.9654088050314465,318,319,590,1961234,962340,806199,126523027,dataset,DAGM,,,
0.12663516712812486,0.4424175516069113,0.10920596746356845,0.196908366285282,0.196908366285282,0.9806621844951923,0.9835619125697401,6696.961538461538,0.06606606606606606,0.5116279069767442,0.11702127659574468,0.009009009009009009,0.06976744186046512,0.015957446808510637,0.1987867319204032,11.961538461538462,26,43,333,25247,174121,31819,10418413,dataset,VisA,,,
0.814357449493409,0.5176697785627074,0.4630282597406716,0.6329724072763235,0.6329724072763235,0.9706032443576389,0.9939239366546865,2366.8888888888887,0.046242774566473986,0.16161616161616163,0.07191011235955055,0.031791907514450865,0.1111111111111111,0.049438202247191004,0.10056023651170481,7.333333333333333,45,99,346,467227,106510,435331,17422932,dataset,MPDD,,,
0.778428723008697,0.5040717862586966,0.4408231212312189,0.611904563072981,0.611904563072981,0.9389918993340164,0.9848662269285486,5607.3442622950815,0.21722846441947566,0.4393939393939394,0.2907268170426065,0.14606741573033707,0.29545454545454547,0.1954887218045113,0.24675397831578852,3.4262295081967213,61,132,267,1201690,342048,1182276,22259586,dataset,MTD,,,
0.7468513583679844,0.5590796149750485,0.47001127471830084,0.6394662174388688,0.6394662174388688,0.983188262404057,0.9948080033651651,2069.9298245614036,0.4661016949152542,0.873015873015873,0.6077348066298341,0.2796610169491525,0.5238095238095238,0.3646408839779005,0.47689367008011657,1.105263157894737,57,63,118,348088,117986,274521,22606605,dataset,KolektorSDD2,,,
