epoch,train_total_loss,train_full_loss,train_component_loss,train_crop_loss,train_distillation_loss,distillation_schedule,teacher_valid_fraction,teacher_foreground_valid_fraction,zoom_samples,component_loss_terms,val_precision,val_recall,val_iou,val_dice,val_fp_per_image,val_component_recall_iou10,epoch_minutes
1,3.1137679736716484,1.7592939895647104,0.669330638761445,2.0396173259743717,0.0,0.0,0.0,0.0,4674,9754,0.16119000357260138,0.1830163848156148,0.0937395979409312,0.1714111807187102,22295.09355179704,0.3843545652700412,4.857441660265128
2,2.3597204858239564,1.3489403219981873,0.513113868014538,1.5084464555803863,0.0,0.0,0.0,0.0,4674,9754,0.17864871144628397,0.35080295302785014,0.1342609764479899,0.23673736333314868,37756.013213530656,0.46960523129086945,4.642897082058092
3,2.2660883351857724,1.3317743503347745,0.4610470430273773,1.4075809236439303,0.0,0.0,0.0,0.0,4674,9754,0.296455131376443,0.4392470316789569,0.21506232072167727,0.3539938932415295,24402.566067653275,0.5601840639379995,4.677828047548731
4,2.220467614562463,1.3176719019698235,0.4361684414841924,1.3694229872178278,0.0,0.0,0.0,0.0,4674,9754,0.10630565067037882,0.6241339116095215,0.0999095025725137,0.1816685869861861,122829.95031712473,0.44538629208040686,4.675060703791678
5,2.2403778421152256,1.3265274765260064,0.43732841095590697,1.3326538065620792,0.14429629543127648,0.2,0.8820699528296968,0.3868761380733901,4674,9754,0.4492974120505013,0.427590247731664,0.28055332345446204,0.43817515181270594,12268.877378435518,0.5814967304432066,4.692328026766578
6,2.2657285981199813,1.3301711871715485,0.43445294145536745,1.333794822340356,0.12858382503735427,0.4,0.8856997119115653,0.3959070480699834,4674,9754,0.30158832680698056,0.4058848188547425,0.209225534234669,0.3460488193661738,22003.593023255813,0.6190360862194236,4.631125621621807
7,2.277936174019196,1.334550961145698,0.42785104229608995,1.312964243880782,0.12162927835422903,0.6,0.8900390791300995,0.41280557201679835,4674,9754,0.25992453843310925,0.5198001975437554,0.2095958607626009,0.3465551884915665,34646.47040169133,0.5807701622668927,4.649638462128738
8,2.2922311787411536,1.336037183373023,0.42861631912248666,1.2911257283413113,0.12040370985882412,0.8,0.8909120312662749,0.4222981143930956,4674,9754,0.2700451328771628,0.5049643214898972,0.21351906042535485,0.3519006291512447,31953.187103594082,0.6042625333010414,4.665584546203415
9,2.2909903270934557,1.3349968590262782,0.42038765811018697,1.2658639772481897,0.11286765314285427,1.0,0.8840022427502927,0.42577260606491235,4674,9754,0.2563528585428143,0.6470512134229146,0.2249037780100387,0.36721868614923237,43940.119978858354,0.6369581012351659,4.742072977249821
10,2.266483371144762,1.3209071518470688,0.4134805771385574,1.2579426691306095,0.10986459716380853,1.0,0.8836405346006088,0.43617671592566803,4674,9754,0.18875245767408827,0.6542164474378929,0.17162990715665194,0.29297631634065874,65822.75739957717,0.6299346088641318,4.88033002000302
11,2.2568434794115966,1.3118677420621532,0.4084325079185968,1.254943163803953,0.11328790172446797,1.0,0.8948459969013594,0.44444707231710423,4674,9754,0.36526502914604186,0.42845234264239146,0.24559645518070083,0.394343535836527,17429.329809725157,0.5938483894405425,4.7789130997533595
12,2.2462398418185403,1.3087408438224017,0.40220683068373403,1.2481865443575193,0.11230231274264123,1.0,0.8919843336798536,0.4500059183283854,4674,9754,0.20132338721019366,0.5793987425917987,0.1756524637046655,0.29881698737934337,53808.15750528541,0.5887624122063454,4.806450359895825
13,2.220306950309745,1.300958898629884,0.39447280863472356,1.2225653590251846,0.11082897416355916,1.0,0.892372500950273,0.4634831408330956,4674,9754,0.34010549031904724,0.5825343269359312,0.2734555662156711,0.42947013381597476,26459.17071881607,0.6686849116008718,4.891431961581111
14,2.2053670860036503,1.2835977807540118,0.39530318909183854,1.2268896251984158,0.1106729010637202,1.0,0.8989814452473789,0.4694120398804727,4674,9754,0.3579481407758988,0.6562409695146053,0.3014289596174336,0.46322768121902136,27555.428646934462,0.6711068055219181,4.918641660486658
15,2.180522967730365,1.27608774716106,0.38386382975239247,1.2094933556380174,0.10775662781271252,1.0,0.8884696271026645,0.4618680009730382,4674,9754,0.5192379722854864,0.6107387362929946,0.39012811151404186,0.5612836806661486,13237.714587737844,0.6962945023007993,4.858456623367966
16,2.1612140414408043,1.266985475734448,0.3738563139740016,1.1954295458696766,0.10958563594933826,1.0,0.8843096911503553,0.4663800183768252,4674,9754,0.4000967260182139,0.6344262180711557,0.32513737580255136,0.4907225194001284,22268.511627906977,0.6674739646403488,4.8268160211543245
17,2.1390394750890023,1.2528223722836773,0.36950314732154926,1.1842130982848915,0.1093589811180098,1.0,0.8861969808692588,0.4770511989733236,4674,9754,0.36149466703254796,0.6494692244896005,0.3024792978767148,0.4644669567797549,26854.374735729387,0.6846694114797772,4.914347657747567
